product_url,product_price,product_specs,product_desc,product_tag,product_pmode,product_name
http://www.amazon.in/Nokia-Lumia-520-Black/dp/B00CE2LO8Y," 8,500.00, 8,500.00",,,,,Nokia Lumia 520 (Black)
http://www.amazon.in/Lava-C11s-White/dp/B00OLRGCW8,,,,,,Lava C11s (White)
http://www.amazon.in/Lava-a500-club-Xolo-A500/dp/B00KOUFRMC," 4,490.00",,,,,Xolo A500 Club (Red)
http://www.amazon.in/SAMSUNG-GRAND-NEO-PLUS-WHITE/dp/B00SRCHLHS," 9,850.00",,,,,SAMSUNG GRAND NEO PLUS - WHITE
http://www.amazon.in/Samsung-Galaxy-Note-SM-N9000-Black/dp/B00F84QJUI," 35,200.00, 35,200.00",,,,,Samsung Galaxy Note 3 SM-N9000 (Jet Black)
http://www.amazon.in/Micromax-Canvas-Elanza-A121-White/dp/B00NV76EXQ," 8,390.00,
    
        
        
            ,
                  
        
      
",,,,,Micromax Canvas Elanza 2 A121 (White)
http://www.amazon.in/Lava-Iris-250-White/dp/B00PLCPECG,,,,,,Lava Iris 250 (White)
http://www.amazon.in/Samsung-Galaxy-A5-White/dp/B00RVA8F72," 24,115.00",,,,,Samsung Galaxy A5 (White)
http://www.amazon.in/Intex-ATOM-Mobile-Phone-Black/dp/B00S84H7X8,,,,,,Intex ATOM Dual SIM Mobile Phone (Black)
http://www.amazon.in/XF401-by-ICE-Mobile-Phone/dp/B00TIOQREW,,,,,,XF401 by ICE Mobile Phone
http://www.amazon.in/OPPO-Digital-R1001-Joy-White/dp/B00LTPBQMG," 6,450.00",,,,,OPPO Joy R1001 (White)
http://www.amazon.in/T-Series-Mobiles-T01-T01_Purple/dp/B00RZD39WQ," 689.00, 689.00",,,,,T-Series Mobiles T01_Purple
http://www.amazon.in/Lava-Iris-349i-Black/dp/B00LIXHD2Q,,,,,,Lava Iris 349i (Black)
http://www.amazon.in/Sony-Xperia-Z3-Black/dp/B00NPTLX0Y," 37,890.00",,,,,Sony Xperia Z3 (Black)
http://www.amazon.in/Lava-X5-Iris-White/dp/B00PZXDNVK," 8,429.00",,,,,Lava Iris X5 (White)
http://www.amazon.in/HTC-Desire-820Q-Santorini-White/dp/B00QV61U1K," 21,090.00",,,,,"HTC Desire 820Q (Dual SIM, Santorini White)"
http://www.amazon.in/Samsung-Galaxy-Star-GT-S7262-White/dp/B00FOH0G8K," 4,900.00,
    
        
        
            ,
                  
        
      
",,,,,Samsung Galaxy Star Pro GT-S7262 (White)
http://www.amazon.in/Micromax-Canvas-Juice-A177-Black/dp/B00J60MFTO," 6,614.00",,,,,Micromax Canvas Juice A177 (Black)
http://www.amazon.in/Lenovo-A269i-Black/dp/B00GC44ZG8," 3,600.00",,,,,Lenovo A269i (Black)
http://www.amazon.in/Microsoft-Lumia-435-Dual-SIM/dp/B00T9NC7Q4," 5,394.00",,,,,"Microsoft Lumia 435 (Dual SIM, Black)"
http://www.amazon.in/Samsung-Guru-Music-SM-B310E-White/dp/B00L5JVGFI," 1,649.00",,,,,Samsung Guru Music 2 SM-B310E (White)
http://www.amazon.in/HTC-Desire-816G-Plus-Octa-core/dp/B00STZZ88W," 17,850.00",,,,,"HTC Desire 816G Plus Octa-core (Dual SIM, 16GB, Blue)"
http://www.amazon.in/Nokia-225-Dual-SIM-White/dp/B00KJHMZ7K," 3,049.00",,,,,"Nokia 225 (Dual SIM, White)"
http://www.amazon.in/Sansui-R3-Multimedia-Mobile-Phone/dp/B00UBTRW9W," 799.00, 799.00",,,,,Sansui R3 Full Multimedia Dual Sim Mobile Phone - Voilet & Black
http://www.amazon.in/Samsung-Galaxy-Prime-SM-G360-White/dp/B00QISH3E4," 8,900.00",,,,,Samsung Galaxy Core Prime SM-G360 (White)
http://www.amazon.in/Samsung-Galaxy-Note-Neo-Black/dp/B00IKC6LIK," 19,999.00,
    
        
        
            ,
                  
        
      
",,,,,Samsung Galaxy Note 3 Neo (Black)
http://www.amazon.in/Samsung-Guru-Music-SM-B310E-Blue/dp/B00OFRKT1Y," 1,600.00",,,,,Samsung Guru Music 2 SM-B310E (Blue)
http://www.amazon.in/Micromax-X097-Black/dp/B00H93MO3C," 1,039.00",,,,,Micromax X097 (Black)
