product_url,product_price,product_specs,product_desc,product_pmode,product_name
http://www.flipkart.com/hitech-125/p/itme45sjzmh3yg8b?pid=MOBE45SGPVWTMGM4&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_831,Rs. 740,,,,Hitech 125
http://www.flipkart.com/micromax-canvas-2-colors-a120-4-gb-rom/p/itme3hbvzejkdzcs?pid=MOBDVN5YYS4YRT5G&primarySection=SELLER_TABLE&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&sellersSortedBy=PRICE&srno=b_832,"Rs. 8,190",,,,Micromax Canvas 2 Colors A120 with 4 GB ROM
http://www.flipkart.com/nokia-asha-502/p/itme5hwfdwz9jeym?pid=MOBDRJ2HNH7HEJF4&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_830,"Rs. 4,699",,,,Nokia Asha 502
http://www.flipkart.com/micromax-canvas-2-colors-a120-4-gb-rom/p/itme3hbvzejkdzcs?pid=MOBDVN5YYS4YRT5G&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_832,"Rs. 8,190",,,,Micromax Canvas 2 Colors A120 with 4 GB ROM
http://www.flipkart.com/nokia-asha-502/p/itme5hwfdwz9jeym?pid=MOBDRJ2HNH7HEJF4&primarySection=SELLER_TABLE&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&sellersSortedBy=PRICE&srno=b_830,"Rs. 4,699",,,,Nokia Asha 502
http://www.flipkart.com/nokia-x/p/itme5hwpebpctqqg?pid=MOBDU4HESFMX6Z5K&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_829,"Rs. 5,499",,,,Nokia X
http://www.flipkart.com/lava-spark-candy/p/itme2rjjwzckazym?pid=MOBE2RJJDJ4NCBR8&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_827,"Rs. 1,449",,,,Lava Spark Candy
http://www.flipkart.com/nokia-x/p/itme5hwpebpctqqg?pid=MOBDU4HESFMX6Z5K&primarySection=SELLER_TABLE&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&sellersSortedBy=PRICE&srno=b_829,"Rs. 5,499",,,,Nokia X
http://www.flipkart.com/microsoft-lumia-532/p/itme4xhgdrxxj7zh?pid=MOBE4EMYFCM4YZUS&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_828,"Rs. 6,199",,,,Microsoft Lumia 532
http://www.flipkart.com/samsung-312/p/itme43kyfcyzztzh?pid=MOBE4FJDHFDRRH8R&primarySection=SELLER_TABLE&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&sellersSortedBy=PRICE&srno=b_825,"Rs. 2,187",,,,Samsung 312
http://www.flipkart.com/micromax-bolt-a71/p/itme5hvxw5xwexey?pid=MOBDSHT8BMBEZCTY&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_826,"Rs. 5,329",,,,Micromax Bolt A71
http://www.flipkart.com/cheers-c21/p/itme53cgb9uzqy9a?pid=MOBE53CGKUTMFPZN&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_823,"Rs. 1,999",,,,Cheers C21
http://www.flipkart.com/nokia-lumia-930/p/itme5hwzzhytecgz?pid=MOBDXZ9WM2KUTWEK&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_824,"Rs. 29,275",,,,Nokia Lumia 930
http://www.flipkart.com/micromax-cg666/p/itme45x7nypkudvg?pid=MOBDYAZ3QZGFGN3X&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_822,"Rs. 2,349",,,,Micromax CG666
http://www.flipkart.com/samsung-312/p/itme43kyfcyzztzh?pid=MOBE4FJDHFDRRH8R&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_825,"Rs. 2,187",,,,Samsung 312
http://www.flipkart.com/micromax-cg666/p/itme45x7nypkudvg?pid=MOBDYAZ3QZGFGN3X&primarySection=SELLER_TABLE&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&sellersSortedBy=PRICE&srno=b_822,"Rs. 2,349",,,,Micromax CG666
http://www.flipkart.com/karbonn-k57/p/itme3m7wrqkqxsey?pid=MOBDMZSTJH29HSRG&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_820,"Rs. 1,490",,,,Karbonn K57
http://www.flipkart.com/karbonn-k63/p/itme3m7xzuyyz9pq?pid=MOBDPMFYGZK7URJX&ref=6ff1a875-169e-417e-8faa-4554f144b79f&srno=b_817,"Rs. 1,899",,,,Karbonn K63+
http://www.flipkart.com/sansui-r1/p/itme4dsxuxsmbbzz?pid=MOBE4DSXHQB28M99&ref=6ff1a875-169e-417e-8faa-4554f144b79f&srno=b_816,Rs. 849,,,,Sansui R1
http://www.flipkart.com/karbonn-android-one-sparkle-v/p/itmeyfhggvcghjaf?pid=MOBE2F4EHXQBZTYP&primarySection=SELLER_TABLE&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&sellersSortedBy=PRICE&srno=b_819,"Rs. 5,595",,,,Karbonn Android One Sparkle V
http://www.flipkart.com/sony-xperia-e1/p/itme5hvf8dgdhurd?pid=MOBDTTBKY72RNUN5&ref=c33966c5-019c-458c-ba59-1c70eb8bf3bc&srno=b_821,"Rs. 6,780",,,,Sony Xperia E1
http://www.flipkart.com/gionee-pioneer-p3/p/itme5hw95tyzvv2p?pid=MOBDVZ6TYRQTHX9Q&primarySection=SELLER_TABLE&ref=6ff1a875-169e-417e-8faa-4554f144b79f&sellersSortedBy=PRICE&srno=b_815,"Rs. 6,798",,,,Gionee Pioneer P3
http://www.flipkart.com/gionee-pioneer-p3/p/itme5hw95tyzvv2p?pid=MOBDVZ6TYRQTHX9Q&ref=6ff1a875-169e-417e-8faa-4554f144b79f&srno=b_815,"Rs. 6,798",,,,Gionee Pioneer P3
http://www.flipkart.com/moto-turbo/p/itme45h87vyhb3mg,"Rs. 41,999",,,,Moto Turbo
http://www.flipkart.com/micromax-canvas-blaze-mt500/p/itmdrnwwkt9hk5my?pid=MOBDRNWHRWNQHR4D&primarySection=SELLER_TABLE&ref=6ff1a875-169e-417e-8faa-4554f144b79f&sellersSortedBy=PRICE&srno=b_812,"Rs. 8,960",,,,Micromax Canvas Blaze MT500
http://www.flipkart.com/nokia-lumia-630-dual-sim/p/itmeyfptbgf9gv6s?pid=MOBDW52BP75BZM3K&ref=6ff1a875-169e-417e-8faa-4554f144b79f&srno=b_814,"Rs. 8,514",,,,Nokia Lumia 630 Dual Sim
http://www.flipkart.com/nokia-lumia-630-dual-sim/p/itmeyfptbgf9gv6s?pid=MOBDW52BP75BZM3K&primarySection=SELLER_TABLE&ref=6ff1a875-169e-417e-8faa-4554f144b79f&sellersSortedBy=PRICE&srno=b_814,"Rs. 8,514",,,,Nokia Lumia 630 Dual Sim
http://www.flipkart.com/micromax-canvas-blaze-mt500/p/itmdrnwwkt9hk5my?pid=MOBDRNWHRWNQHR4D&ref=6ff1a875-169e-417e-8faa-4554f144b79f&srno=b_812,"Rs. 8,960",,,,Micromax Canvas Blaze MT500
