product_url,product_price,product_specs,product_desc,product_pmode,product_name
http://www.flipkart.com/intex-aqua-star-power/p/itme3g9khehgcsgw?pid=MOBEYSNNFBFH9MY2&ref=4bb0c3df-0db5-4d24-bd5a-b7cf74bdefb7&srno=b_588,"Rs. 7,777",,,,Intex Aqua Star Power
http://www.flipkart.com/haier-e718/p/itme3fkzzrkd8eyw?pid=MOBE3FKW24RPZK2E&ref=4bb0c3df-0db5-4d24-bd5a-b7cf74bdefb7&srno=b_607,"Rs. 6,650",,,,Haier E718
http://www.flipkart.com/moto-turbo/p/itme45h87vyhb3mg,"Rs. 41,999",,,,Moto Turbo
http://www.flipkart.com/micromax-joy-x1800/p/itme4tzgwhbf9ev4?pid=MOBE4TZGBTQF7JNX&ref=4bb0c3df-0db5-4d24-bd5a-b7cf74bdefb7&srno=b_605,Rs. 849,,,,Micromax JOY X1800
http://www.flipkart.com/xolo-q2000l/p/itme5hxahrusu4qv?pid=MOBDXF7R6UN8G4DE&ref=4bb0c3df-0db5-4d24-bd5a-b7cf74bdefb7&srno=b_604,"Rs. 7,445",,,,XOLO Q2000L
http://www.flipkart.com/moto-x-2nd-gen/p/itme5hwz4yvdd8w5?pid=MOBDZ3FVPC3PYHPE&ref=e8b0ed72-22cf-4aa6-a221-13f4a85042fb&srno=b_442,"Rs. 29,999",,,,Moto X (2nd Gen)
http://www.flipkart.com/xolo-a550s-ips/p/itme5hwg87awmngn?pid=MOBDYJXDJ4QTGVZD&primarySection=SELLER_TABLE&ref=318aef78-1de1-4a7d-a152-d7f32d21550e&sellersSortedBy=PRICE&srno=b_566,"Rs. 4,800",,,,XOLO A550S IPS
http://www.flipkart.com/blackberry-passport/p/itme3h5wg4u7fvvk?pid=MOBEYP5AB8JNPK3C&primarySection=SELLER_TABLE&ref=ad9caf5e-316a-4850-814a-d8ef1d58a5ee&sellersSortedBy=PRICE&srno=b_545,"Rs. 46,252",,,,BlackBerry Passport
http://www.flipkart.com/reliance-d286-gsm-cdma-unlocked/p/itme45ycphcsv94n?pid=MOBE45YCKUMCHUHM&ref=8c417569-fe33-4929-a7f9-5e8bc413e19c&srno=b_568,"Rs. 2,299",,,,Reliance D286 GSM & CDMA Unlocked
http://www.flipkart.com/samsung-galaxy-grand-2/p/itmefr9grgpfrjzj?pid=MOBEY7ZMZMXT7NM2&primarySection=SELLER_TABLE&ref=4bb0c3df-0db5-4d24-bd5a-b7cf74bdefb7&sellersSortedBy=PRICE&srno=b_603,"Rs. 14,600",,,,Samsung Galaxy Grand 2
http://www.flipkart.com/google-nexus-5/p/itme3m7xxyzzhrnx?pid=MOBDQ9VXUZ938GAP&ref=4bb0c3df-0db5-4d24-bd5a-b7cf74bdefb7&srno=b_606,"Rs. 32,999",,,,Google Nexus 5
http://www.flipkart.com/samsung-galaxy-s5/p/itmdzkkpqdeftxjh?pid=MOBDWA2DHSPRJPD9&ref=318aef78-1de1-4a7d-a152-d7f32d21550e&srno=b_547,"Rs. 30,800",,,,Samsung Galaxy S5
http://www.flipkart.com/micromax-x281/p/itmdq37ur6a6tach?pid=MOBDQ37UZTKSSG24&ref=8542c9ca-4457-4a0a-9f6a-e932ddaedee1&srno=b_481,"Rs. 2,899",,,,Micromax X281
http://www.flipkart.com/samsung-galaxy-grand-2/p/itmefr9grgpfrjzj?pid=MOBEY7ZMZMXT7NM2&ref=4bb0c3df-0db5-4d24-bd5a-b7cf74bdefb7&srno=b_603,"Rs. 14,600",,,,Samsung Galaxy Grand 2
http://www.flipkart.com/moto-e-1st-gen/p/itme5hwms7mzfjr2?pid=MOBDVHC6TH4PZGSM,"Rs. 5,999",,,,Moto E (1st Gen)
http://www.flipkart.com/micromax-canvas-turbo-mini-a200/p/itme5kwgggz7pced?pid=MOBDUK65EYBZFUVK&ref=ffc62134-1372-4746-92d2-3ed6c7ec7ad2&srno=b_524,"Rs. 8,395",,,,Micromax Canvas Turbo Mini A200
http://www.flipkart.com/panasonic-t31/p/itme45xfha4gcdfd?pid=MOBDRUDQZ6HAZ4G3&primarySection=SELLER_TABLE&ref=ffc62134-1372-4746-92d2-3ed6c7ec7ad2&sellersSortedBy=PRICE&srno=b_523,"Rs. 4,250",,,,Panasonic T31
http://www.flipkart.com/videocon-v1514/p/itme44kr9szbh2cm?pid=MOBE44KR8XBYDNXR&ref=ffc62134-1372-4746-92d2-3ed6c7ec7ad2&srno=b_521,"Rs. 1,025",,,,Videocon V1514
http://www.flipkart.com/panasonic-eluga-u/p/itme5kwngvcmazj9?pid=MOBDZ4HRCWYS4KJC&primarySection=SELLER_TABLE&ref=6e85cec1-3ec8-44df-97df-fef43a7ba81c&sellersSortedBy=PRICE&srno=b_629,"Rs. 15,499",,,,Panasonic Eluga U
http://www.flipkart.com/panasonic-eluga-u/p/itme5kwngvcmazj9?pid=MOBDZ4HRCWYS4KJC&ref=6e85cec1-3ec8-44df-97df-fef43a7ba81c&srno=b_629,"Rs. 15,499",,,,Panasonic Eluga U
http://www.flipkart.com/panasonic-t31/p/itme45xfha4gcdfd?pid=MOBDRUDQZ6HAZ4G3&ref=ffc62134-1372-4746-92d2-3ed6c7ec7ad2&srno=b_523,"Rs. 4,250",,,,Panasonic T31
http://www.flipkart.com/sony-xperia-z2/p/itme5hvvavq5fz6p?pid=MOBDVW6SQ6K7KSAE&primarySection=SELLER_TABLE&ref=ffc62134-1372-4746-92d2-3ed6c7ec7ad2&sellersSortedBy=PRICE&srno=b_522,"Rs. 33,000",,,,Sony Xperia Z2
