product_url,product_price,product_specs,product_desc,product_pmode,product_name
http://www.flipkart.com/asus-zenfone-5-a501cg/p/itme5hvretgsnfsz?pid=MOBDXZ9WZZGHFMTG&ref=6a80bd5c-b18c-48a3-882d-26927cc4f303&srno=b_22,"Rs. 9,999",,,,Asus Zenfone 5 A501CG
http://www.flipkart.com/nokia-225/p/itme3m7xhtrcsexg?pid=MOBDWANFKT3YGJQK&ref=6a80bd5c-b18c-48a3-882d-26927cc4f303&srno=b_41,"Rs. 2,831",,,,Nokia 225
http://www.flipkart.com/microsoft-lumia-535/p/itme5hwpzw9dyrjv?pid=MOBEFYNDDFGHGJZX&ref=6a80bd5c-b18c-48a3-882d-26927cc4f303&srno=b_39,"Rs. 7,869",,,,Microsoft Lumia 535
http://www.flipkart.com/htc-desire-820/p/itmefryysghpxend?pid=MOBEFRYXUT6XR6UZ&ref=6a80bd5c-b18c-48a3-882d-26927cc4f303&srno=b_40,"Rs. 21,999",,,,HTC Desire 820
http://www.flipkart.com/moto-turbo/p/itme45h87vyhb3mg,"Rs. 41,999",,,,Moto Turbo
http://www.flipkart.com/lava-iris-x8/p/itme4xhmnfcdskwe?pid=MOBE4DFKX6QCUMGX&ref=6a80bd5c-b18c-48a3-882d-26927cc4f303&srno=b_37,"Rs. 8,999",,,,Lava Iris X8
http://www.flipkart.com/micromax-x249/p/itme5kwqt42tp7uj?pid=MOBDYABCJQBTAZGV&primarySection=SELLER_TABLE&ref=d5f215dd-088d-4e25-9e90-918fb6f94f1c&sellersSortedBy=PRICE&srno=b_167,"Rs. 1,319",,,,Micromax X249
http://www.flipkart.com/moto-e-1st-gen/p/itme5hwms7mzfjr2?pid=MOBDVHC6TH4PZGSM,"Rs. 5,999",,,,Moto E (1st Gen)
http://www.flipkart.com/moto-turbo/p/itme45h87vyhb3mg?pid=MOBE45H673ZGUCVX&ref=aacb3ad5-6ea5-4352-9411-c5c741928396&srno=b_62,"Rs. 41,999",,,,Moto Turbo
http://www.flipkart.com/asus-zenfone-c-zc451cg/p/itme5d99ysssvgcx?pid=MOBE4B74CD3W5ZRG&ref=cb192387-4aa1-4aed-8b8b-4215c77d8eb7&srno=b_83,"Rs. 5,999",,,,Asus Zenfone C ZC451CG
http://www.flipkart.com/samsung-galaxy-star-2-sm-g130e/p/itmdzrdvwqzyyvzn?pid=MOBDZRDTKGJXRGZH&ref=2a582244-6c9f-4ffd-8805-1f240f909508&srno=b_85,"Rs. 4,420",,,,Samsung Galaxy Star 2 SM-G130E
http://www.flipkart.com/nokia-130/p/itme3m7xjezdq86t?pid=MOBEFYX4XP4V9XH3&primarySection=SELLER_TABLE&ref=ecfba3d7-bbb6-4870-9580-086fcc44d241&sellersSortedBy=PRICE&srno=b_20,"Rs. 1,602",,,,Nokia 130
http://www.flipkart.com/samsung-galaxy-core-prime-sm-g360hhadins-inu/p/itme3ygyfjyzhzj3?pid=MOBE3YHYVD8WSJDX&primarySection=SELLER_TABLE&ref=76f5d9c7-a65f-46ac-90b2-8dee2c3c8414&sellersSortedBy=PRICE&srno=b_146,"Rs. 9,500",,,,Samsung Galaxy Core Prime SM-G360HHADINS/INU
http://www.flipkart.com/samsung-galaxy-core-2-sm-g355hzkdins-sm-g355hzkdinu/p/itmefyrbshf26gbw?pid=MOBDZB3Q8WJNKVHG&ref=6a80bd5c-b18c-48a3-882d-26927cc4f303&srno=b_38,"Rs. 6,699",,,,Samsung Galaxy Core 2 SM-G355HZKDINS/ SM-G355HZKDINU
http://www.flipkart.com/samsung-guru-1200/p/itme3m7wh9weccd4?pid=MOBDA2CFCQ6CFHTZ&primarySection=SELLER_TABLE&ref=d8b85503-0962-4b55-8ceb-aee0b64ec3b5&sellersSortedBy=PRICE&srno=b_188,"Rs. 1,260",,,,Samsung Guru 1200
http://www.flipkart.com/xolo-omega/p/itme2pp8f4vf5ata?pid=MOBE2PP8GSVUJVKW&primarySection=SELLER_TABLE&ref=eec68f33-ba9c-4185-aceb-7a50aa5b0342&sellersSortedBy=PRICE&srno=b_209,"Rs. 7,599",,,,XOLO Omega
http://www.flipkart.com/xolo-omega/p/itme2pp8f4vf5ata?pid=MOBE2PP8GSVUJVKW&ref=eec68f33-ba9c-4185-aceb-7a50aa5b0342&srno=b_209,"Rs. 7,599",,,,XOLO Omega
http://www.flipkart.com/nokia-130/p/itme3m7xjezdq86t?pid=MOBEFYX4XP4V9XH3&ref=ecfba3d7-bbb6-4870-9580-086fcc44d241&srno=b_20,"Rs. 1,602",,,,Nokia 130
http://www.flipkart.com/karbonn-titanium-s6/p/itme5hvrc9mummww?pid=MOBEFRYXBBXYYH9S&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&srno=b_122,"Rs. 5,499",,,,Karbonn Titanium S6
http://www.flipkart.com/xolo-a500s-lite/p/itme5hwk38xg2ahd?pid=MOBDWHG4SFQUGFGK&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&srno=b_124,"Rs. 4,058",,,,XOLO A500s Lite
http://www.flipkart.com/blackberry-z3/p/itmdxdg9ukfdxhaw?pid=MOBDXDFJJZHHDYMH&primarySection=SELLER_TABLE&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&sellersSortedBy=PRICE&srno=b_120,"Rs. 13,796",,,,BlackBerry Z3
http://www.flipkart.com/apple-iphone-4s/p/itmeyfrhecyqxrgg?pid=MOBDQD7UHBGZHRPN&ref=eec68f33-ba9c-4185-aceb-7a50aa5b0342&srno=b_190,"Rs. 19,699",,,,Apple iPhone 4S
http://www.flipkart.com/micromax-q25/p/itmeymgtup4bzwsw?pid=MOBEYMGSNZAZKTU6&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&srno=b_119,"Rs. 1,470",,,,Micromax Q25
http://www.flipkart.com/blackberry-z3/p/itmdxdg9ukfdxhaw?pid=MOBDXDFJJZHHDYMH&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&srno=b_120,"Rs. 13,796",,,,BlackBerry Z3
http://www.flipkart.com/samsung-galaxy-note-3-neo/p/itme5hwkryjxxkfd?pid=MOBDTRBZSVFGZVXC&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&srno=b_123,"Rs. 22,333",,,,Samsung Galaxy Note 3 Neo
http://www.flipkart.com/samsung-galaxy-grand-2/p/itmefr9gsjsztumy?pid=MOBDRRYRWADX9DNK&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&srno=b_121,"Rs. 13,386",,,,Samsung Galaxy Grand 2
http://www.flipkart.com/samsung-galaxy-note-3-neo/p/itme5hwkryjxxkfd?pid=MOBDTRBZSVFGZVXC&primarySection=SELLER_TABLE&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&sellersSortedBy=PRICE&srno=b_123,"Rs. 22,333",,,,Samsung Galaxy Note 3 Neo
http://www.flipkart.com/nokia-220/p/itme4denwtdaupzg?pid=MOBDUGTKXBGHF3HX&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&srno=b_116,"Rs. 2,586",,,,Nokia 220
http://www.flipkart.com/apple-iphone-6/p/itme3m7xbefkurht?pid=MOBEYHZ2YAXZMF2J&primarySection=SELLER_TABLE&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&sellersSortedBy=PRICE&srno=b_117,"Rs. 51,500",,,,Apple iPhone 6
http://www.flipkart.com/asus-zenfone-5-a502cg/p/itmefryyqczpnygy?pid=MOBEFRYXPNHTAP7Q&ref=9f2288f0-3bfa-424f-bed2-08e3eff49bee&srno=b_115,"Rs. 8,499",,,,Asus Zenfone 5 A502CG
