product_url,product_price,product_specs,product_desc,product_pmode,product_name
http://www.flipkart.com/spice-stellar-glide-mi-438/p/itme5mfejfnbn9qz?pid=MOBE2U6Y5WHBHMZZ&ref=10b4c98a-364d-459c-902a-cd0a55ba4a99&srno=b_1009,"Rs. 3,423",,,,Spice Stellar Glide Mi-438
http://www.flipkart.com/moto-turbo/p/itme45h87vyhb3mg,"Rs. 41,999",,,,Moto Turbo
http://www.flipkart.com/mtech-g7/p/itme3zdephzabkzj?pid=MOBE3ZDEMCAU9GFQ&primarySection=SELLER_TABLE&ref=10b4c98a-364d-459c-902a-cd0a55ba4a99&sellersSortedBy=PRICE&srno=b_1028,Rs. 791,,,,Mtech G7
http://www.flipkart.com/intex-aqua-curve-mini/p/itmdzhynfmn5924f?pid=MOBDZHYNJPHY8UNK&ref=10b4c98a-364d-459c-902a-cd0a55ba4a99&srno=b_1027,"Rs. 6,988",,,,Intex Aqua Curve Mini
http://www.flipkart.com/jivi-jv-c300/p/itmdvjzhvumbv2dd?pid=MOBDVJZHXMASR9YR&ref=306acfed-8ec8-4a4f-885c-c37b72a7fac4&srno=b_904,"Rs. 1,040",,,,Jivi JV C300
http://www.flipkart.com/intex-aqua-eco/p/itme4yf7kfcyxryu?pid=MOBE4YF7Y3NCWAKJ&primarySection=SELLER_TABLE&ref=10b4c98a-364d-459c-902a-cd0a55ba4a99&sellersSortedBy=PRICE&srno=b_1026,"Rs. 3,744",,,,Intex Aqua Eco
http://www.flipkart.com/intex-aqua-eco/p/itme4yf7kfcyxryu?pid=MOBE4YF7Y3NCWAKJ&ref=10b4c98a-364d-459c-902a-cd0a55ba4a99&srno=b_1026,"Rs. 3,744",,,,Intex Aqua Eco
http://www.flipkart.com/karbonn-k24/p/itme5fgsmujffgng?pid=MOBE2H4NGYRZF2XW&ref=10b4c98a-364d-459c-902a-cd0a55ba4a99&srno=b_1025,"Rs. 1,269",,,,Karbonn K24
http://www.flipkart.com/moto-e-1st-gen/p/itme5hwms7mzfjr2?pid=MOBDVHC6TH4PZGSM,"Rs. 5,999",,,,Moto E (1st Gen)
http://www.flipkart.com/mtech-g7/p/itme3zdephzabkzj?pid=MOBE3ZDEMCAU9GFQ&ref=10b4c98a-364d-459c-902a-cd0a55ba4a99&srno=b_1028,Rs. 791,,,,Mtech G7
http://www.flipkart.com/philips-e130/p/itme3zde9czshbk6?pid=MOBE3ZDEVEZGWNZD&ref=d1599ccc-8a96-4d41-b560-f9ccefa93cbf&srno=b_944,"Rs. 1,125",,,,Philips E130
http://www.flipkart.com/lava-kkt-34i/p/itmd8354hz7ggyag?pid=MOBD835Y7E4TFMAE&ref=917b907e-a39b-4deb-94ee-5b755320cc02&srno=b_862,"Rs. 1,549",,,,Lava KKT 34i
http://www.flipkart.com/intex-aqua-t4/p/itme45wwnzzmfmzf?pid=MOBDZ3QBE66HGYJG&primarySection=SELLER_TABLE&ref=4700f234-1066-4b46-81eb-d9317792328f&sellersSortedBy=PRICE&srno=b_1007,"Rs. 3,322",,,,Intex Aqua T4
