product_url,product_price,product_specs,product_desc,product_pmode,product_name
http://www.flipkart.com/karbonn-titanium-s4-plus/p/itme5hx35k47zxzz?pid=MOBEF87CHXRH2HH8&ref=c2489b79-4767-41cd-bdb6-c6f6ea027213&srno=b_295,"Rs. 5,985",,,,Karbonn Titanium S4 Plus
http://www.flipkart.com/adcom-x9/p/itmdw3wafezdmksn?pid=MOBDW88FMZFUNKHE&ref=c2489b79-4767-41cd-bdb6-c6f6ea027213&srno=b_313,Rs. 775,,,,Adcom X9
http://www.flipkart.com/moto-turbo/p/itme45h87vyhb3mg,"Rs. 41,999",,,,Moto Turbo
http://www.flipkart.com/gionee-marathon-m3/p/itme3fkbmrhqsmqs?pid=MOBE3FK8GEGBM5ST&ref=c2489b79-4767-41cd-bdb6-c6f6ea027213&srno=b_314,"Rs. 12,001",,,,Gionee Marathon M3
http://www.flipkart.com/lenovo-a369i/p/itme3yh6xtvb3wky?pid=MOBE3YH5EH2UKDH2&primarySection=SELLER_TABLE&ref=c2489b79-4767-41cd-bdb6-c6f6ea027213&sellersSortedBy=PRICE&srno=b_312,"Rs. 3,601",,,,Lenovo A369i
http://www.flipkart.com/lenovo-a369i/p/itme3yh6xtvb3wky?pid=MOBE3YH5EH2UKDH2&ref=c2489b79-4767-41cd-bdb6-c6f6ea027213&srno=b_312,"Rs. 3,601",,,,Lenovo A369i
http://www.flipkart.com/karbonn-a100/p/itmdyygypfjjs34x?pid=MOBDYYFYY5YGF7GZ&ref=998077e8-be13-4cfb-9060-bef2ec260958&srno=b_231,"Rs. 2,479",,,,Karbonn A100
http://www.flipkart.com/htc-desire-516/p/itme5kwhpjvncqff?pid=MOBDXUUQEHQ39VEB&ref=c2489b79-4767-41cd-bdb6-c6f6ea027213&srno=b_311,"Rs. 9,915",,,,HTC Desire 516
http://www.flipkart.com/nokia-108/p/itme5hwvqzzq2zfn?pid=MOBDPGRZPZRKVM5A&ref=998077e8-be13-4cfb-9060-bef2ec260958&srno=b_250,"Rs. 1,859",,,,Nokia 108
http://www.flipkart.com/htc-desire-516/p/itme5kwhpjvncqff?pid=MOBDXUUQEHQ39VEB&primarySection=SELLER_TABLE&ref=c2489b79-4767-41cd-bdb6-c6f6ea027213&sellersSortedBy=PRICE&srno=b_311,"Rs. 9,915",,,,HTC Desire 516
http://www.flipkart.com/blackberry-q5/p/itme5hvuz2jrurub?pid=MOBDMS6YFQPK6WXS&ref=9bf645fa-b18a-463c-a98e-4e4269d5d4ab&srno=b_274,"Rs. 13,574",,,,BlackBerry Q5
http://www.flipkart.com/xolo-q1010i/p/itme5hvzmq3qgpwz?pid=MOBDYZ9HAZKGMYUS&ref=07c0a411-1c49-4934-bdeb-97e348feba16&srno=b_355,"Rs. 7,550",,,,XOLO Q1010i
http://www.flipkart.com/maxcell-m105/p/itme2egfygpfxg8g?pid=MOBE2EGF7YDFM29M&ref=8db27424-8071-4304-8b81-4bfab9038273&srno=b_316,Rs. 739,,,,Maxcell M105
http://www.flipkart.com/spice-flo-rainbow-m-6111/p/itmdx8mgfatfraqz?pid=MOBDX8MFDETZWFZX&ref=07c0a411-1c49-4934-bdeb-97e348feba16&srno=b_354,"Rs. 2,449",,,,Spice Flo Rainbow M-6111
http://www.flipkart.com/moto-e-1st-gen/p/itme5hwms7mzfjr2?pid=MOBDVHC6TH4PZGSM,"Rs. 5,999",,,,Moto E (1st Gen)
http://www.flipkart.com/xolo-a500-club/p/itme5hwgch4h9dqd?pid=MOBDTKHJZPFAHH6D&ref=42742876-f676-4c0e-8163-832d9bde4db9&srno=b_357,"Rs. 4,699",,,,XOLO A500 Club
http://www.flipkart.com/xolo-q1010i/p/itme3h8fcbttpg6e?pid=MOBDV7RXQTJXSCHJ&ref=42742876-f676-4c0e-8163-832d9bde4db9&srno=b_376,"Rs. 7,729",,,,XOLO Q1010i
http://www.flipkart.com/adcom-altra-slim/p/itme39cjyczb8u8u?pid=MOBE39CJYEFGTGMZ&ref=42742876-f676-4c0e-8163-832d9bde4db9&srno=b_373,"Rs. 3,398",,,,Adcom Altra Slim
http://www.flipkart.com/nokia-xl/p/itme5hvxs4dtm6ds?pid=MOBDW76QYGPZGY7Z&primarySection=SELLER_TABLE&ref=42742876-f676-4c0e-8163-832d9bde4db9&sellersSortedBy=PRICE&srno=b_375,"Rs. 8,529",,,,Nokia XL
http://www.flipkart.com/lava-arc-111/p/itme3m7x8pnuepgy?pid=MOBDU5Q6MKXCTJKZ&ref=42742876-f676-4c0e-8163-832d9bde4db9&srno=b_374,"Rs. 1,899",,,,Lava Arc 111
http://www.flipkart.com/micromax-joy-x1850/p/itme4tzg9zge8efj?pid=MOBE4TZGZKGJ3BZF&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&srno=b_419,Rs. 875,,,,Micromax JOY X1850
http://www.flipkart.com/nokia-asha-501/p/itme5hx9wxadcydu?pid=MOBDHX4WZQUKFGBZ&ref=42742876-f676-4c0e-8163-832d9bde4db9&srno=b_372,"Rs. 3,680",,,,Nokia Asha 501
http://www.flipkart.com/nokia-xl/p/itme5hvxs4dtm6ds?pid=MOBDW76QYGPZGY7Z&ref=42742876-f676-4c0e-8163-832d9bde4db9&srno=b_375,"Rs. 8,529",,,,Nokia XL
http://www.flipkart.com/panasonic-eluga-a/p/itme45xfjyghqvb7?pid=MOBDZYCZSZHFTCQC&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&srno=b_400,"Rs. 7,129",,,,Panasonic Eluga A
http://www.flipkart.com/samsung-galaxy-star-s5282/p/itmdzkkaqz8qdneu?pid=MOBDH48MF4ZCAFWP&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&srno=b_417,"Rs. 4,430",,,,Samsung Galaxy Star S5282
http://www.flipkart.com/samsung-galaxy-s4-i9500/p/itmdv6f4bazcv86p?pid=MOBDK7U9KZZKWZ9T&ref=8db27424-8071-4304-8b81-4bfab9038273&srno=b_335,"Rs. 26,999",,,,Samsung Galaxy S4 I9500
http://www.flipkart.com/sansui-s183/p/itmefjkbzkmkxgxn?pid=MOBEFJKBFUGFE7AH&primarySection=SELLER_TABLE&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&sellersSortedBy=PRICE&srno=b_418,Rs. 949,,,,Sansui S183
http://www.flipkart.com/sansui-s183/p/itmefjkbzkmkxgxn?pid=MOBEFJKBFUGFE7AH&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&srno=b_418,Rs. 949,,,,Sansui S183
http://www.flipkart.com/spice-gaming-mobile-x-2/p/itmeyw2z4b6tzdgh?pid=MOBEYW2ZF6HMZDNB&primarySection=SELLER_TABLE&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&sellersSortedBy=PRICE&srno=b_415,"Rs. 1,699",,,,Spice Gaming Mobile X-2
http://www.flipkart.com/spice-gaming-mobile-x-2/p/itmeyw2z4b6tzdgh?pid=MOBEYW2ZF6HMZDNB&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&srno=b_415,"Rs. 1,699",,,,Spice Gaming Mobile X-2
http://www.flipkart.com/nokia-asha-503/p/itme5hxafnrjjwhn?pid=MOBDS9YNYAQVZMTW&primarySection=SELLER_TABLE&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&sellersSortedBy=PRICE&srno=b_413,"Rs. 4,439",,,,Nokia Asha 503
http://www.flipkart.com/samsung-galaxy-star-s5282/p/itmdzkkaqz8qdneu?pid=MOBDH48MF4ZCAFWP&primarySection=SELLER_TABLE&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&sellersSortedBy=PRICE&srno=b_417,"Rs. 4,430",,,,Samsung Galaxy Star S5282
http://www.flipkart.com/sony-xperia-e1-dual/p/itme5hwhx3z8euk3?pid=MOBDUY5YWKJFPZAV&ref=f6d11cd5-a525-489d-be80-cfc7164ab00f&srno=b_414,"Rs. 6,419",,,,Sony Xperia E1 Dual
